OrderID;OrderAmount;CustomerID;EmployeeID;OrderDate;RequiredDate;ShipDate;CourierWebsite;ShipVia;Shipped;PO;PaymentReceived
1;41.9;1;1;36862;36875;36870;http://www.ups.com;UPS;SANT;0;SANT
1002;5060.28;41;3;36862;36863;36862;Saknas;Pickup;SANT;3284;SANT
1003;186.87;77;4;36862;36874;36865;http://www.ups.com;UPS;SANT;0;SANT
1004;823.05;18;4;36862;36864;36862;Saknas;Pickup;SANT;0;SANT
1005;29;64;3;36863;36869;36863;http://www.loomis.com;Loomis;SANT;0;SANT
1006;64.9;7;4;36863;36866;36865;http://www.purolator.com;Purolator;SANT;4717;SANT
1007;49.5;32;9;36863;36863;36863;http://www.usps.com;Parcel_Post;SANT;0;SANT
1008;2214.94;11;4;36863;36876;36867;http://www.purolator.com;Purolator;SANT;0;SANT
1009;29;25;4;36863;36872;36870;http://www.loomis.com;Loomis;SANT;3054;SANT
1010;14872.3;54;1;36863;36865;36863;http://www.ups.com;UPS;SANT;0;SANT
1011;29;71;4;36863;36869;36863;http://www.purolator.com;Purolator;SANT;7719;SANT
1012;10259.1;66;1;36863;36867;36865;http://www.loomis.com;Loomis;SANT;3126;SANT
1013;1142.13;28;4;36863;36871;36868;http://www.usps.com;Parcel_Post;SANT;0;SANT
1014;29;8;1;36864;36868;36864;http://www.purolator.com;Purolator;SANT;3026;SANT
1015;43.5;72;9;36864;36873;36867;http://www.ups.com;UPS;SANT;7480;SANT
1016;563.7;64;3;36864;36870;36866;http://www.fedex.com;FedEx;SANT;1594;SANT
1017;72;38;4;36865;36866;36865;http://www.purolator.com;Purolator;SANT;3710;SANT
1018;115.5;37;3;36865;36868;36866;http://www.loomis.com;Loomis;SANT;0;SANT
1019;43.5;30;9;36865;36872;36867;http://www.usps.com;Parcel_Post;SANT;0;SANT
1020;67.8;25;7;36865;36878;36870;http://www.fedex.com;FedEx;SANT;0;SANT
1021;5237.55;76;7;36866;36878;36872;http://www.purolator.com;Purolator;SANT;0;SANT
1022;2792.86;75;3;36867;36877;36867;http://www.usps.com;Parcel_Post;SANT;0;SANT
1023;890.61;73;1;36867;36869;36868;http://www.loomis.com;Loomis;SANT;6676;SANT
1024;33;55;9;36867;36867;36867;Saknas;Pickup;SANT;0;SANT
1025;8819.55;64;1;36867;36871;36868;http://www.usps.com;Parcel_Post;SANT;0;SANT
1026;33;39;9;36867;36872;36871;Saknas;Pickup;SANT;0;SANT
1027;2972.85;27;6;36867;36873;36867;http://www.ups.com;UPS;SANT;0;SANT
1028;296.87;18;4;36868;36875;36869;http://www.usps.com;Parcel_Post;SANT;0;SANT
1029;49.5;7;9;36868;36876;36868;http://www.usps.com;Parcel_Post;SANT;0;SANT
1030;890.55;52;1;36868;36877;36868;http://www.usps.com;Parcel_Post;SANT;2902;SANT
1031;33;30;9;36868;36872;36870;http://www.fedex.com;FedEx;SANT;0;SANT
1032;12323.1;9;1;36868;36876;36874;http://www.loomis.com;Loomis;SANT;0;SANT
1033;3520.3;1;3;36868;36881;36880;http://www.loomis.com;Loomis;SANT;0;SANT
1034;33;51;7;36869;36872;36869;Saknas;Pickup;SANT;6063;SANT
1035;33;32;6;36870;36878;36877;http://www.purolator.com;Purolator;SANT;3059;SANT
1036;2014.2;15;6;36870;36871;36870;http://www.loomis.com;Loomis;SANT;8234;SANT
1037;49.5;73;1;36870;36877;36875;http://www.fedex.com;FedEx;SANT;0;SANT
1038;1799.7;65;6;36870;36882;36873;http://www.usps.com;Parcel_Post;SANT;4148;SANT
1039;647.57;43;3;36870;36874;36871;http://www.loomis.com;Loomis;SANT;8372;SANT
1040;605.6;26;6;36870;36883;36879;http://www.loomis.com;Loomis;SANT;0;SANT
1041;764.85;1;1;36871;36875;36873;http://www.usps.com;Parcel_Post;SANT;3785;SANT
1042;296.62;60;7;36871;36883;36875;http://www.purolator.com;Purolator;SANT;0;SANT
1043;2179.83;54;4;36871;36877;36874;http://www.ups.com;UPS;SANT;1376;SANT
1044;125.7;26;7;36871;36876;36871;http://www.usps.com;Parcel_Post;SANT;3427;SANT
1045;3764.04;15;6;36871;36877;36873;http://www.fedex.com;FedEx;SANT;3662;SANT
1046;1744.75;61;4;36872;36879;36877;http://www.usps.com;Parcel_Post;SANT;2871;SANT
1047;67.8;59;1;36872;36883;36874;http://www.purolator.com;Purolator;SANT;0;SANT
1048;329.85;46;1;36872;36880;36879;Saknas;Pickup;SANT;2906;SANT
1049;1790.25;23;6;36872;36885;36872;Saknas;Pickup;SANT;0;SANT
1050;1739.85;22;9;36872;36883;36878;http://www.purolator.com;Purolator;SANT;0;SANT
1051;623.65;32;3;36872;36885;36876;http://www.loomis.com;Loomis;SANT;1013;SANT
1052;1716.2;63;6;36872;36874;36872;Saknas;Pickup;SANT;5120;SANT
1053;29;59;9;36872;36876;36874;http://www.purolator.com;Purolator;SANT;5783;SANT
1054;106.3;67;9;36872;36877;36874;http://www.ups.com;UPS;SANT;0;SANT
1055;2459.4;72;1;36872;36884;36877;http://www.usps.com;Parcel_Post;SANT;0;SANT
1056;329.85;18;9;36872;36882;36872;http://www.usps.com;Parcel_Post;SANT;0;SANT
1057;3638.01;72;3;36872;36875;36873;http://www.loomis.com;Loomis;SANT;2532;SANT
1058;1472.27;76;7;36872;36878;36876;http://www.loomis.com;Loomis;SANT;5219;SANT
1059;364.67;35;7;36872;36874;36872;Saknas;Pickup;SANT;0;SANT
1060;113.4;70;9;36872;36878;36873;http://www.usps.com;Parcel_Post;SANT;0;SANT
1061;83.8;54;1;36872;36878;36872;http://www.ups.com;UPS;SANT;0;SANT
1062;65.7;37;1;36872;36873;36872;http://www.usps.com;Parcel_Post;SANT;7310;SANT
1063;2497.05;31;9;36872;36873;36872;http://www.loomis.com;Loomis;SANT;4756;SANT
1064;48.51;69;6;36873;36883;36874;http://www.fedex.com;FedEx;SANT;7330;SANT
1065;1275.7;39;6;36873;36883;36874;http://www.ups.com;UPS;SANT;5949;SANT
1066;161.7;44;9;36874;36882;36876;http://www.loomis.com;Loomis;SANT;2315;SANT
1067;374.04;42;6;36874;36886;36878;Saknas;Pickup;SANT;0;SANT
1068;83.8;18;9;36875;36882;36881;Saknas;Pickup;SANT;8301;SANT
1069;1498.24;8;1;36875;36888;36882;Saknas;Pickup;SANT;0;SANT
1070;3479.7;6;4;36875;36881;36876;http://www.usps.com;Parcel_Post;SANT;4586;SANT
1071;3685.44;17;7;36875;36875;36875;http://www.loomis.com;Loomis;SANT;0;SANT
1072;47;25;1;36876;36878;36877;Saknas;Pickup;SANT;1366;SANT
1073;1052.25;49;6;36876;36888;36885;http://www.usps.com;Parcel_Post;SANT;0;SANT
1074;605.55;69;4;36876;36877;36876;http://www.usps.com;Parcel_Post;SANT;0;SANT
1075;125.7;15;1;36876;36885;36878;http://www.ups.com;UPS;SANT;0;SANT
1076;3580.59;55;9;36877;36882;36878;http://www.usps.com;Parcel_Post;SANT;3487;SANT
1077;83.8;30;6;36877;36883;36879;Saknas;Pickup;SANT;0;SANT
1078;29;36;3;36878;36889;36887;http://www.loomis.com;Loomis;SANT;4547;SANT
1079;83.8;28;6;36878;36886;36881;http://www.ups.com;UPS;SANT;6109;SANT
1080;923.61;51;3;36878;36880;36879;Saknas;Pickup;SANT;0;SANT
1081;1123.2;25;7;36879;36879;36879;http://www.purolator.com;Purolator;SANT;2126;SANT
1082;376.35;39;7;36879;36884;36880;http://www.loomis.com;Loomis;SANT;2380;SANT
1083;36;63;6;36879;36888;36883;http://www.purolator.com;Purolator;SANT;0;SANT
1084;548.7;45;1;36880;36883;36881;http://www.usps.com;Parcel_Post;SANT;0;SANT
1085;764.85;34;1;36881;36890;36886;http://www.loomis.com;Loomis;SANT;3624;SANT
1086;2362.97;13;1;36881;36890;36884;http://www.purolator.com;Purolator;SANT;2680;SANT
1087;1490.76;55;6;36882;36884;36883;http://www.loomis.com;Loomis;SANT;4401;SANT
1088;1889.4;71;7;36882;36888;36886;http://www.usps.com;Parcel_Post;SANT;0;SANT
1089;185.2;40;4;36882;36882;36882;Saknas;Pickup;SANT;0;SANT
1090;1529.7;10;6;36882;36894;36893;http://www.loomis.com;Loomis;SANT;5862;SANT
1091;161.7;48;4;36883;36894;36883;http://www.ups.com;UPS;SANT;0;SANT
1092;42;1;9;36884;36890;36886;http://www.usps.com;Parcel_Post;SANT;8415;SANT
1093;107.8;58;4;36885;36888;36886;http://www.purolator.com;Purolator;SANT;2186;SANT
1094;161.7;72;3;36886;36887;36886;http://www.fedex.com;FedEx;SANT;0;SANT
1095;1530.42;60;6;36886;36890;36887;http://www.loomis.com;Loomis;SANT;6524;SANT
1096;47.63;3;4;36887;36897;36896;http://www.fedex.com;FedEx;SANT;1928;SANT
1097;1439.55;3;4;36887;36897;36894;http://www.loomis.com;Loomis;SANT;0;SANT
1098;5811.96;24;1;36887;36899;36896;http://www.loomis.com;Loomis;SANT;2751;SANT
1099;26.1;44;7;36887;36898;36895;http://www.purolator.com;Purolator;SANT;7318;SANT
1100;107.8;72;4;36887;36896;36890;http://www.ups.com;UPS;SANT;0;SANT
