ProductID;ProductName;Color;Size;MF;PriceUnit;ProductTypeID;ProductClass;SupplierID
1101;Active_Outdoors_Crochet_Glove;NA;xsm;NA;14.5;5;Accessory;1
1102;Active_Outdoors_Crochet_Glove;NA;sm;NA;14.5;5;Accessory;1
1103;Active_Outdoors_Crochet_Glove;NA;med;NA;14.5;5;Accessory;1
1104;Active_Outdoors_Crochet_Glove;NA;lrg;NA;14.5;5;Accessory;1
1105;Active_Outdoors_Crochet_Glove;NA;xlrg;NA;14.5;5;Accessory;1
1106;Active_Outdoors_Lycra_Glove;NA;xxsm;NA;16.5;5;Accessory;1
1107;Active_Outdoors_Lycra_Glove;NA;xsm;NA;16.5;5;Accessory;1
1108;Active_Outdoors_Lycra_Glove;NA;sm;NA;16.5;5;Accessory;1
1109;Active_Outdoors_Lycra_Glove;NA;med;NA;16.5;5;Accessory;1
1110;Active_Outdoors_Lycra_Glove;NA;lrg;NA;16.5;5;Accessory;1
1111;Active_Outdoors_Lycra_Glove;NA;xlrg;NA;16.5;5;Accessory;1
2201;Triumph_Pro_Helmet;black;sm;NA;41.9;6;Accessory;2
2202;Triumph_Pro_Helmet;white;sm;NA;41.9;6;Accessory;2
2203;Triumph_Pro_Helmet;black;med;NA;41.9;6;Accessory;2
2204;Triumph_Pro_Helmet;white;med;NA;41.9;6;Accessory;2
2205;Triumph_Pro_Helmet;black;lrg;NA;41.9;6;Accessory;2
2206;Triumph_Pro_Helmet;white;lrg;NA;41.9;6;Accessory;2
2207;Triumph_Vertigo_Helmet;black;sm;NA;53.9;6;Accessory;2
2208;Triumph_Vertigo_Helmet;red;sm;NA;53.9;6;Accessory;2
2209;Triumph_Vertigo_Helmet;white;sm;NA;53.9;6;Accessory;2
2210;Triumph_Vertigo_Helmet;black;med;NA;53.9;6;Accessory;2
2211;Triumph_Vertigo_Helmet;red;med;NA;53.9;6;Accessory;2
2212;Triumph_Vertigo_Helmet;white;med;NA;53.9;6;Accessory;2
2213;Triumph_Vertigo_Helmet;black;lrg;NA;53.9;6;Accessory;2
2214;Triumph_Vertigo_Helmet;red;lrg;NA;53.9;6;Accessory;2
2215;Triumph_Vertigo_Helmet;white;lrg;NA;53.9;6;Accessory;2
3301;Guardian_Chain_Lock;NA;NA;NA;4.5;7;Accessory;3
3302;"Guardian_""U""_Lock";NA;NA;NA;17.5;7;Accessory;3
3303;"Guardian_XL_""U""_Lock";NA;NA;NA;19.9;7;Accessory;3
3304;Guardian_ATB_Lock;NA;NA;NA;21.9;7;Accessory;3
3305;Guardian_Mini_Lock;NA;NA;NA;21.9;7;Accessory;3
4101;InFlux_Crochet_Glove;NA;sm;NA;13.5;5;Accessory;4
4102;InFlux_Crochet_Glove;NA;med;NA;13.5;5;Accessory;4
4103;InFlux_Crochet_Glove;NA;lrg;NA;13.5;5;Accessory;4
4104;InFlux_Lycra_Glove;NA;sm;NA;15.5;5;Accessory;4
4105;InFlux_Lycra_Glove;NA;med;NA;15.5;5;Accessory;4
4106;InFlux_Lycra_Glove;NA;lrg;NA;15.5;5;Accessory;4
5201;Xtreme_Adult_Helmet;white;sm/med;NA;33.9;6;Accessory;5
5202;Xtreme_Adult_Helmet;green;sm/med;NA;33.9;6;Accessory;5
5203;Xtreme_Adult_Helmet;red;sm/med;NA;33.9;6;Accessory;5
5204;Xtreme_Adult_Helmet;white;med/lrg;NA;33.9;6;Accessory;5
5205;Xtreme_Adult_Helmet;green;med/lrg;NA;33.9;6;Accessory;5
5206;Xtreme_Adult_Helmet;red;med/lrg;NA;33.9;6;Accessory;5
5207;Xtreme_Youth_Helmet;black;NA;youth;33.9;6;Accessory;5
5208;Xtreme_Youth_Helmet;red;NA;youth;33.9;6;Accessory;5
5301;Xtreme_Mtn_Lock;NA;NA;NA;11.9;7;Accessory;5
5302;Xtreme_Rhino_Lock;NA;NA;NA;9.98;7;Accessory;5
5303;Xtreme_Titan_Lock;NA;NA;NA;37.9;7;Accessory;5
5401;Xtreme_Anatomic_Mens_Saddle;NA;NA;mens;14.5;8;Accessory;5
5402;Xtreme_Anatomic_Ladies_Saddle;NA;NA;ladies;14.5;8;Accessory;5
5403;Xtreme_Wide_MTB_Saddle;NA;NA;mens;14.5;8;Accessory;5
5404;Xtreme_Gellite_Mens_Saddle;NA;NA;mens;23.5;8;Accessory;5
5405;Xtreme_Gellite__Ladies_Saddle;NA;NA;ladies;23.5;8;Accessory;5
6401;Roadster_Jr_BMX_Saddle;NA;NA;youth;12;8;Accessory;6
6402;Roadster_Micro_Mtn_Saddle;NA;NA;youth;9;8;Accessory;6
6403;Roadster_Mini_Mtn_Saddle;NA;NA;youth;15;8;Accessory;6
7401;Vesper_Comfort_ATB_Saddle;NA;NA;mens;23.5;8;Accessory;7
7402;Vesper_Comfort_Ladies_Saddle;NA;NA;ladies;23.5;8;Accessory;7
7403;Vesper_Gelflex_ATB_Saddle;NA;NA;mens;36;8;Accessory;7
7404;Vesper_Gelflex_Ladies_Saddle;NA;NA;ladies;36;8;Accessory;7
101151;Descent;steel_satin;15;NA;2939.85;1;Bicycle;5
101152;Descent;steel_yellow;15;NA;2939.85;1;Bicycle;5
101171;Descent;steel_satin;17;NA;2939.85;1;Bicycle;5
101172;Descent;steel_yellow;17;NA;2939.85;1;Bicycle;5
101181;Descent;steel_satin;18.5;NA;2939.85;1;Bicycle;5
101182;Descent;steel_yellow;18.5;NA;2939.85;1;Bicycle;5
101201;Descent;steel_satin;20;NA;2939.85;1;Bicycle;5
101202;Descent;steel_yellow;20;NA;2939.85;1;Bicycle;5
101221;Descent;steel_satin;22;NA;2939.85;1;Bicycle;5
101222;Descent;steel_yellow;22;NA;2939.85;1;Bicycle;5
102151;Mozzie;jewel_green;15;NA;1739.85;1;Bicycle;5
102171;Mozzie;jewel_green;17;NA;1739.85;1;Bicycle;5
102181;Mozzie;jewel_green;18.5;NA;1739.85;1;Bicycle;5
102201;Mozzie;jewel_green;20;NA;1739.85;1;Bicycle;5
102221;Mozzie;jewel_green;22;NA;1739.85;1;Bicycle;5
103151;Endorphin;deep_burgundy;15;NA;899.85;1;Bicycle;5
103171;Endorphin;deep_burgundy;17;NA;899.85;1;Bicycle;5
103181;Endorphin;deep_burgundy;18.5;NA;899.85;1;Bicycle;5
103201;Endorphin;deep_burgundy;20;NA;899.85;1;Bicycle;5
103221;Endorphin;deep_burgundy;22;NA;899.85;1;Bicycle;5
201161;Romeo;radiant_steel;16;NA;832.35;2;Bicycle;5
201181;Romeo;radiant_steel;18;NA;832.35;2;Bicycle;5
201201;Romeo;radiant_steel;20;NA;832.35;2;Bicycle;5
201221;Romeo;radiant_steel;22;NA;832.35;2;Bicycle;5
202161;Wheeler;deep_burgundy;16;NA;539.85;2;Bicycle;5
202181;Wheeler;deep_burgundy;18;NA;539.85;2;Bicycle;5
202201;Wheeler;deep_burgundy;20;NA;539.85;2;Bicycle;5
202221;Wheeler;deep_burgundy;22;NA;539.85;2;Bicycle;5
301151;SlickRock;champagne;15;NA;764.85;3;Bicycle;5
301161;SlickRock;champagne;16;NA;764.85;3;Bicycle;5
301181;SlickRock;champagne;18;NA;764.85;3;Bicycle;5
301201;SlickRock;champagne;20;NA;764.85;3;Bicycle;5
301221;SlickRock;champagne;22;NA;764.85;3;Bicycle;5
302161;Rapel;forest_green;16;NA;479.85;3;Bicycle;5
302162;Rapel;satin_silver;16;NA;479.85;3;Bicycle;5
302181;Rapel;forest_green;18;NA;479.85;3;Bicycle;5
302182;Rapel;satin_silver;18;NA;479.85;3;Bicycle;5
302201;Rapel;forest_green;20;NA;479.85;3;Bicycle;5
302202;Rapel;satin_silver;20;NA;479.85;3;Bicycle;5
302221;Rapel;forest_green;22;NA;479.85;3;Bicycle;5
302222;Rapel;satin_silver;22;NA;479.85;3;Bicycle;5
303151;Nicros;red;15;NA;329.85;3;Bicycle;5
303152;Nicros;blue;15;NA;329.85;3;Bicycle;5
303161;Nicros;red;16;NA;329.85;3;Bicycle;5
303162;Nicros;blue;16;NA;329.85;3;Bicycle;5
303181;Nicros;red;18;NA;329.85;3;Bicycle;5
303182;Nicros;blue;18;NA;329.85;3;Bicycle;5
303201;Nicros;red;20;NA;329.85;3;Bicycle;5
303202;Nicros;blue;20;NA;329.85;3;Bicycle;5
303221;Nicros;red;22;NA;329.85;3;Bicycle;5
303222;Nicros;blue;22;NA;329.85;3;Bicycle;5
